UTC,DE TIME,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045
2015-10-26T11:00:00Z,2015-10-26T12:00:00+0100,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395
2015-10-26T12:00:00Z,2015-10-26T13:00:00+0100,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865
2015-10-26T13:00:00Z,2015-10-26T14:00:00+0100,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085
2015-10-26T14:00:00Z,2015-10-26T15:00:00+0100,1.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.325
2015-10-26T15:00:00Z,2015-10-26T16:00:00+0100,1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.435
2015-10-26T16:00:00Z,2015-10-26T17:00:00+0100,1.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.645
2015-10-26T17:00:00Z,2015-10-26T18:00:00+0100,1.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.885
2015-10-26T18:00:00Z,2015-10-26T19:00:00+0100,1.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2015-10-26T19:00:00Z,2015-10-26T20:00:00+0100,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2015-10-26T20:00:00Z,2015-10-26T21:00:00+0100,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.615
2015-10-26T21:00:00Z,2015-10-26T22:00:00+0100,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.875
2015-10-26T22:00:00Z,2015-10-26T23:00:00+0100,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09
2015-10-26T23:00:00Z,2015-10-27T00:00:00+0100,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2015-10-27T00:00:00Z,2015-10-27T01:00:00+0100,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.485
2015-10-27T01:00:00Z,2015-10-27T02:00:00+0100,4.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.705
2015-10-27T02:00:00Z,2015-10-27T03:00:00+0100,4.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.875
2015-10-27T03:00:00Z,2015-10-27T04:00:00+0100,4.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.105
2015-10-27T04:00:00Z,2015-10-27T05:00:00+0100,5.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2015-10-27T05:00:00Z,2015-10-27T06:00:00+0100,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2015-10-27T06:00:00Z,2015-10-27T07:00:00+0100,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64
2015-10-27T07:00:00Z,2015-10-27T08:00:00+0100,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41
2015-10-27T08:00:00Z,2015-10-27T09:00:00+0100,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.685
2015-10-27T09:00:00Z,2015-10-27T10:00:00+0100,7.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.925
2015-10-27T10:00:00Z,2015-10-27T11:00:00+0100,7.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.115
2015-10-27T11:00:00Z,2015-10-27T12:00:00+0100,8.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35
2015-10-27T12:00:00Z,2015-10-27T13:00:00+0100,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.885
2015-10-27T13:00:00Z,2015-10-27T14:00:00+0100,8.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.215
2015-10-27T14:00:00Z,2015-10-27T15:00:00+0100,9.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.445
2015-10-27T15:00:00Z,2015-10-27T16:00:00+0100,9.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73
2015-10-27T16:00:00Z,2015-10-27T17:00:00+0100,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.035
2015-10-27T17:00:00Z,2015-10-27T18:00:00+0100,10.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.36
2015-10-27T18:00:00Z,2015-10-27T19:00:00+0100,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74
2015-10-27T19:00:00Z,2015-10-27T20:00:00+0100,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09
2015-10-27T20:00:00Z,2015-10-27T21:00:00+0100,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.485
2015-10-27T21:00:00Z,2015-10-27T22:00:00+0100,11.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.01
2015-10-27T22:00:00Z,2015-10-27T23:00:00+0100,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22
2015-10-27T23:00:00Z,2015-10-28T00:00:00+0100,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
