time,local_time,electricity
1/1/2019 0:00,1/1/2019 1:00,0
1/1/2019 1:00,1/1/2019 2:00,0
1/1/2019 2:00,1/1/2019 3:00,0
1/1/2019 3:00,1/1/2019 4:00,0
1/1/2019 4:00,1/1/2019 5:00,0
1/1/2019 5:00,1/1/2019 6:00,0
1/1/2019 6:00,1/1/2019 7:00,0
1/1/2019 7:00,1/1/2019 8:00,0
1/1/2019 8:00,1/1/2019 9:00,0.004
1/1/2019 9:00,1/1/2019 10:00,0.004
1/1/2019 10:00,1/1/2019 11:00,0.008
1/1/2019 11:00,1/1/2019 12:00,0.005
1/1/2019 12:00,1/1/2019 13:00,0.009
1/1/2019 13:00,1/1/2019 14:00,0.014
1/1/2019 14:00,1/1/2019 15:00,0.007
1/1/2019 15:00,1/1/2019 16:00,0
1/1/2019 16:00,1/1/2019 17:00,0
1/1/2019 17:00,1/1/2019 18:00,0
1/1/2019 18:00,1/1/2019 19:00,0
1/1/2019 19:00,1/1/2019 20:00,0
1/1/2019 20:00,1/1/2019 21:00,0
1/1/2019 21:00,1/1/2019 22:00,0
1/1/2019 22:00,1/1/2019 23:00,0
1/1/2019 23:00,1/2/2019 0:00,0
1/2/2019 0:00,1/2/2019 1:00,0
1/2/2019 1:00,1/2/2019 2:00,0
1/2/2019 2:00,1/2/2019 3:00,0
1/2/2019 3:00,1/2/2019 4:00,0
1/2/2019 4:00,1/2/2019 5:00,0
1/2/2019 5:00,1/2/2019 6:00,0
1/2/2019 6:00,1/2/2019 7:00,0
1/2/2019 7:00,1/2/2019 8:00,0.023
1/2/2019 8:00,1/2/2019 9:00,0.349
1/2/2019 9:00,1/2/2019 10:00,0.589
1/2/2019 10:00,1/2/2019 11:00,0.625
1/2/2019 11:00,1/2/2019 12:00,0.517
1/2/2019 12:00,1/2/2019 13:00,0.471
1/2/2019 13:00,1/2/2019 14:00,0.391
1/2/2019 14:00,1/2/2019 15:00,0.164
1/2/2019 15:00,1/2/2019 16:00,0
1/2/2019 16:00,1/2/2019 17:00,0
1/2/2019 17:00,1/2/2019 18:00,0
1/2/2019 18:00,1/2/2019 19:00,0
1/2/2019 19:00,1/2/2019 20:00,0
1/2/2019 20:00,1/2/2019 21:00,0
1/2/2019 21:00,1/2/2019 22:00,0
1/2/2019 22:00,1/2/2019 23:00,0
1/2/2019 23:00,1/3/2019 0:00,0
1/3/2019 0:00,1/3/2019 1:00,0
1/3/2019 1:00,1/3/2019 2:00,0
1/3/2019 2:00,1/3/2019 3:00,0
1/3/2019 3:00,1/3/2019 4:00,0
1/3/2019 4:00,1/3/2019 5:00,0
1/3/2019 5:00,1/3/2019 6:00,0
1/3/2019 6:00,1/3/2019 7:00,0
1/3/2019 7:00,1/3/2019 8:00,0.012
1/3/2019 8:00,1/3/2019 9:00,0.137
1/3/2019 9:00,1/3/2019 10:00,0.217
1/3/2019 10:00,1/3/2019 11:00,0.21
1/3/2019 11:00,1/3/2019 12:00,0.359
